usd_cleaning_fee,f_property_type,f_room_type,f_cancellation_policy,f_bed_type,f_neighbourhood_cleansed,usd_price_day,p_host_response_rate,n_accommodates,n_bathrooms,n_review_scores_rating,n_number_of_reviews,n_guests_included,n_reviews_per_month,n_extra_people,n_minimum_nights,n_beds,n_days_since,d_24hourcheckin,d_airconditioning,d_breakfast,d_buzzerwirelessintercom,d_cabletv,d_carbonmonoxidedetector,d_cats,d_dogs,d_doorman,d_doormanentry,d_dryer,d_elevatorinbuilding,d_essentials,d_familykidfriendly,d_fireextinguisher,d_firstaidkit,d_freeparkingonpremises,d_freeparkingonstreet,d_gym,d_hairdryer,d_hangers,d_heating,d_hottub,d_indoorfireplace,d_internet,d_iron,d_keypad,d_kitchen,d_laptopfriendlyworkspace,d_lockonbedroomdoor,d_lockbox,d_otherpets,d_paidparkingoffpremises,d_petsallowed,d_petsliveonthisproperty,d_pool,d_privateentrance,d_privatelivingroom,d_safetycard,d_selfcheckin,d_shampoo,d_smartlock,d_smokedetector,d_smokingallowed,d_suitableforevents,d_tv,d_washer,d_washerdryer,d_wheelchairaccessible,d_wirelessinternet,price,neighbourhood_cleansed,cancellation_policy,room_type,property_type
NA,Apartment,Private room,flexible,Real Bed,Hackney,65,100,2,1.5,92,3,1,0.06,10,1,1,1467,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,65,Hackney,flexible,Private room,Apartment
NA,House,Private room,moderate,Real Bed,Hackney,30,NA,2,3,90,2,1,0.1,0,1,1,573,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,30,Hackney,moderate,Private room,House
NA,Apartment,Private room,moderate,Couch,Hackney,150,100,7,1.5,97,32,1,0.55,10,2,5,1739,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,150,Hackney,moderate,Private room,Apartment
25,House,Private room,moderate,Real Bed,Hackney,29,100,2,1.5,94,52,1,2.62,0,1,1,593,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,29,Hackney,moderate,Private room,House
20,Apartment,Entire home/apt,moderate,Real Bed,Hackney,65,100,2,1,88,55,3,1.13,0,2,2,1463,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,65,Hackney,moderate,Entire home/apt,Apartment
30,Apartment,Entire home/apt,strict,Real Bed,Hackney,165,100,5,2,100,2,1,0.08,0,2,2,797,1,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,165,Hackney,strict,Entire home/apt,Apartment
30,Apartment,Entire home/apt,moderate,Real Bed,Hackney,95,NA,3,1,96,27,1,0.78,0,2,1,1037,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,95,Hackney,moderate,Entire home/apt,Apartment
15,House,Entire home/apt,moderate,Real Bed,Hackney,65,100,4,1,100,3,2,0.69,5,2,2,130,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,65,Hackney,moderate,Entire home/apt,House
NA,Apartment,Private room,moderate,Real Bed,Hackney,28,100,2,1,90,2,1,0.34,0,1,1,174,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,28,Hackney,moderate,Private room,Apartment
30,House,Entire home/apt,moderate,Real Bed,Hackney,156,100,6,2,NA,0,4,NA,0,1,4,NA,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,156,Hackney,moderate,Entire home/apt,House
20,Apartment,Entire home/apt,moderate,Real Bed,Hackney,95,100,5,1,100,5,5,0.25,10,5,3,600,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,95,Hackney,moderate,Entire home/apt,Apartment
NA,Apartment,Private room,moderate,Real Bed,Hackney,25,89,2,1,93,6,1,1.67,0,1,1,107,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,25,Hackney,moderate,Private room,Apartment
NA,House,Entire home/apt,moderate,Real Bed,Hackney,200,NA,6,2,NA,0,1,NA,0,5,3,NA,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,200,Hackney,moderate,Entire home/apt,House
75,House,Entire home/apt,strict,Real Bed,Hackney,175,100,6,1,98,19,2,1.16,0,2,4,492,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,175,Hackney,strict,Entire home/apt,House
36,Apartment,Entire home/apt,moderate,Real Bed,Hackney,95,100,2,1,94,24,1,1.94,0,2,1,371,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,95,Hackney,moderate,Entire home/apt,Apartment
20,House,Entire home/apt,strict,Real Bed,Hackney,80,100,2,1,98,53,2,1.29,10,3,1,1230,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,80,Hackney,strict,Entire home/apt,House
10,Apartment,Private room,flexible,Real Bed,Hackney,150,NA,2,1,NA,0,1,NA,0,5,1,NA,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,150,Hackney,flexible,Private room,Apartment
NA,Apartment,Private room,flexible,Real Bed,Hackney,30,100,2,1,100,1,1,0.23,15,1,1,128,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,30,Hackney,flexible,Private room,Apartment
12,Apartment,Private room,moderate,Real Bed,Hackney,29,NA,2,1,100,7,1,0.65,0,2,1,319,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,29,Hackney,moderate,Private room,Apartment
NA,Apartment,Private room,flexible,Real Bed,Hackney,40,100,2,1,NA,0,1,NA,0,2,1,NA,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,40,Hackney,flexible,Private room,Apartment
NA,Apartment,Private room,strict,Real Bed,Hackney,38,NA,2,1,92,10,1,0.88,0,1,1,339,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,38,Hackney,strict,Private room,Apartment
